Customer Group,Set Source Warehouse,SO Item,Category,DELIVERY Note NO,DELIVERY Note DATE,DELIVERY Note ITEM,DELIVERY Note QTY,DN Total CBM,Transporter,PLACE Of SUPPLY
Amazon,HR11 - LORPL,LLPVCHD05,Sports & Fitness,DN-25-26-195953,31-03-26,LLPVCHD05,1000,11.7,OM SAI TRANSPORT MUMBAI,Gurugram_Haryana
Offline – GT,HR11 - LORPL,LLMG93A,SHA,DN-25-26-196482,31-03-26,LLMG93A,18,0.29808,SKYLARK EXPRESS (DELHI) PVT LTD,Solan_Himachal Pradesh
Offline Sales-B2B,HR11 - LORPL,LLPBVA13,Electronics,DN-25-26-196304,31-03-26,LLPBVA13,130,0.0468,Safexpress Private Limited,Bangalore_Karnataka
Offline Sales-B2B,HR11 - LORPL,LLGSD07,Kitchen & Dining,DN-25-26-195976,31-03-26,LLGSD07,12,0.5994,Safexpress Private Limited,Chandigarh_Chandigarh
Offline Sales-B2B,HR11 - LORPL,LLEK60,SHA,DN-25-26-195976,31-03-26,LLEK60,72,0.57456,Safexpress Private Limited,Chandigarh_Chandigarh
Corporate Sales Debtors,HR11 - LORPL,LLIC103_MAINPCB,Spares,DN-25-26-195986,31-03-26,LLIC103_MAINPCB,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLGS_HOPTOP_Knob,Spares,DN-25-26-195991,31-03-26,LLGS_HOPTOP_Knob,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLGS_HOPTOP_Common Gas valve,Spares,DN-25-26-195991,31-03-26,LLGS_HOPTOP_Common Gas valve,1,0.000001,,
Offline Sales-B2B,HR11 - LORPL,LLMG600,SHA,,,,,,,
Offline Sales-B2B,HR11 - LORPL,LLMG101,SHA,,,,,,,
Corporate Sales Debtors,HR11 - LORPL,LLMG_Large Jar,Spares,DN-25-26-195990,31-03-26,LLMG_Large Jar,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLMG39_04,Spares,DN-25-26-195985,31-03-26,LLMG39_04,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIC103_MAINPCB,Spares,DN-25-26-195995,31-03-26,LLIC103_MAINPCB,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIC103_COIL,Spares,DN-25-26-195995,31-03-26,LLIC103_COIL,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLMG39_04,Spares,DN-25-26-195992,31-03-26,LLMG39_04,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIC102_MAINPCB,Spares,DN-25-26-195988,31-03-26,LLIC102_MAINPCB,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLMG39_04,Spares,DN-25-26-195996,31-03-26,LLMG39_04,1,0.000001,,
Others,HR11 - LORPL,LLWC04,Kitchen & Dining,,,,,,,
Others,HR11 - LORPL,LLMG22,SHA,,,,,,,
Others,HR11 - LORPL,LLMG101,SHA,,,,,,,
Others,HR11 - LORPL,LLHILB02,Home Improvements,,,,,,,
Others,HR11 - LORPL,LLHICDR04,Home Improvements,,,,,,,
Others,HR11 - LORPL,LLEEB09,Emerging Innovations,,,,,,,
Others,HR11 - LORPL,LLEB05,SHA,,,,,,,
Corporate Sales Debtors,HR11 - LORPL,LLGS_Glen Burner 79,Spares,DN-25-26-195993,31-03-26,LLGS_Glen Burner 79,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLGS_Glen Burner 69,Spares,DN-25-26-195993,31-03-26,LLGS_Glen Burner 69,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLMG39_04,Spares,DN-25-26-195989,31-03-26,LLMG39_04,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLMG_SmallJar,Spares,DN-25-26-195984,31-03-26,LLMG_SmallJar,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIC103,SHA,DN-25-26-196306,31-03-26,LLIC103,1,0.01703625,DTDC EXPRESS LIMITED,
Corporate Sales Debtors,HR11 - LORPL,LLMG_MediumJar,Spares,DN-25-26-195994,31-03-26,LLMG_MediumJar,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIRC001_DISPLAY PCB,Spares,DN-25-26-195987,31-03-26,LLIRC001_DISPLAY PCB,1,0.000001,,
Corporate Sales Debtors,HR11 - LORPL,LLIRC001_MAIN PCB,Spares,DN-25-26-195983,31-03-26,LLIRC001_MAIN PCB,1,0.000001,,
